class,window_id,peak_rank,freq_hz,magnitude
impact,0,1,3.91,166.44
impact,0,2,19.53,90.73
impact,0,3,11.72,78.53
impact,0,4,33.2,19.71
impact,0,5,52.73,17.2
impact,1,1,17.58,20.72
impact,1,2,50.78,5.14
impact,1,3,37.11,4.15
impact,1,4,33.2,3.95
impact,1,5,85.94,3.41
impact,2,1,15.62,14.53
impact,2,2,29.3,14.1
impact,2,3,25.39,13.92
impact,2,4,11.72,13.24
impact,2,5,35.16,11.49
impact,3,1,13.67,41.2
impact,3,2,29.3,24.24
impact,3,3,33.2,23.84
impact,3,4,54.69,14.41
impact,3,5,80.08,12.76
impact,4,1,15.62,5.91
impact,4,2,9.77,5.31
impact,4,3,21.48,5.16
impact,4,4,31.25,4.76
impact,4,5,101.56,4.27
impact,5,1,9.77,21.27
impact,5,2,5.86,20.02
impact,5,3,13.67,11.9
impact,5,4,17.58,9.83
impact,5,5,21.48,9.53
impact,6,1,5.86,25.27
impact,6,2,21.48,16.63
impact,6,3,35.16,12.91
impact,6,4,15.62,8.5
impact,6,5,64.45,6.29
impact,7,1,3.91,118.55
impact,7,2,17.58,53.9
impact,7,3,11.72,50.09
impact,7,4,27.34,35.01
impact,7,5,37.11,23.26
impact,8,1,13.67,24.02
impact,8,2,19.53,23.46
impact,8,3,25.39,20.91
impact,8,4,5.86,18.15
impact,8,5,9.77,11.86
impact,9,1,3.91,94.82
impact,9,2,13.67,46.36
impact,9,3,23.44,20.06
impact,9,4,52.73,6.29
impact,9,5,46.88,6.08
no-impact,0,1,21.48,11.33
no-impact,0,2,31.25,6.75
no-impact,0,3,50.78,2.53
no-impact,0,4,46.88,2.41
no-impact,0,5,66.41,2.18
no-impact,1,1,7.81,2.03
no-impact,1,2,17.58,2.02
no-impact,1,3,11.72,1.51
no-impact,1,4,23.44,1.47
no-impact,1,5,54.69,0.47
no-impact,2,1,37.11,3.2
no-impact,2,2,48.83,3.05
no-impact,2,3,42.97,2.83
no-impact,2,4,62.5,2.32
no-impact,2,5,58.59,2.24
no-impact,3,1,21.48,11.9
no-impact,3,2,5.86,4.78
no-impact,3,3,35.16,4.29
no-impact,3,4,44.92,3.4
no-impact,3,5,64.45,2.15
no-impact,4,1,17.58,0.71
no-impact,4,2,13.67,0.68
no-impact,4,3,7.81,0.58
no-impact,4,4,23.44,0.48
no-impact,4,5,33.2,0.48
no-impact,5,1,19.53,7.46
no-impact,5,2,5.86,4.23
no-impact,5,3,11.72,4.19
no-impact,5,4,35.16,2.26
no-impact,5,5,50.78,1.38
no-impact,6,1,27.34,2.83
no-impact,6,2,21.48,2.4
no-impact,6,3,17.58,1.99
no-impact,6,4,35.16,1.67
no-impact,6,5,3.91,1.44
no-impact,7,1,19.53,13.21
no-impact,7,2,5.86,5.43
no-impact,7,3,25.39,5.18
no-impact,7,4,37.11,4.55
no-impact,7,5,56.64,3.0
no-impact,8,1,13.67,6.63
no-impact,8,2,5.86,6.46
no-impact,8,3,27.34,4.29
no-impact,8,4,19.53,4.04
no-impact,8,5,33.2,1.9
no-impact,9,1,3.91,3.68
no-impact,9,2,19.53,2.4
no-impact,9,3,29.3,1.79
no-impact,9,4,25.39,1.69
no-impact,9,5,33.2,1.58
